sku_id,actual_total,forecast_total,absolute_error,bias,mean_rolling_3m_wmape_percent,actual_positive_months,forecast_positive_months,model_key,model,selection_score
71751M76MB0ZNZ,178.0,58.90311724971016,184.31951658385896,-119.09688275028985,107.39303348441543,78,72,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,107.39303348441543
71751M76T005PK,168.0,101.63538799860298,154.06718047282877,-66.36461200139702,119.21688186245213,87,84,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,119.21688186245213
71751M79G10000,167.0,85.29621255297741,165.8025962114334,-81.70378744702259,104.2890043957233,80,90,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,104.2890043957233
7175260B00000,60.0,3.954894628261144,63.87759303662639,-56.045105371738856,100.03931757062674,6,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.03931757062674
7175360B00000,120.0,6.732517737666001,126.59945606044852,-113.267482262334,100.0347168349168,6,36,xgb_d2_none_log,XGB depth2 unweighted log-size,100.0347168349168
7176060P205PK,148.0,164.8533273653642,138.7071180047421,16.853327365364215,109.78518471750598,90,162,xgb_d2_full_log,XGB depth2 full-weight log-size,109.78518471750598
7176160MB05PK,122.0,47.53513871585486,129.04998027054282,-74.46486128414514,100.12389812552165,68,94,xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,100.12389812552165
7176171L105PK,93.0,95.82969672414055,84.1980636059429,2.8296967241405415,98.46470144139408,85,143,xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,98.46470144139408
7176173K105PK,116.0,83.51730665759425,128.73187044414465,-32.48269334240575,98.61539060606123,61,112,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,98.61539060606123
71761M55T105PK,335.0,135.438443215816,277.7433674276957,-199.561556784184,83.73613871819872,119,160,xgb_d2_sqrt_log,XGB depth2 sqrt-weight log-size,83.73613871819872
71761M68K005PK,115.0,153.33282661734916,124.57498163812082,38.332826617349156,111.99626534249413,79,162,xgb_d2_full_log,XGB depth2 full-weight log-size,111.99626534249413
71761M75L005PK,38.0,36.64202259193844,58.325838667263454,-1.35797740806156,128.29044998997398,38,41,xgb_d2_none_log,XGB depth2 unweighted log-size,128.29044998997398
71761M75L105PK,113.0,89.27765166619012,127.63421090319059,-23.722348333809876,121.38255900776889,78,76,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,121.38255900776889
71761M75T105PK,50.0,0.7058813571929932,49.77039089798927,-49.29411864280701,98.24490450598574,13,3,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,98.24490450598574
71761M76MB0ZNZ,47.0,82.50323895645103,87.33906296920738,35.50323895645103,137.2467051062797,42,74,xgb_d2_none_log,XGB depth2 unweighted log-size,137.2467051062797
7177161M005PK,75.0,17.69522771330113,77.82774920274973,-57.30477228669887,102.4884630713236,48,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,102.4884630713236
71772M74T00000,57.0,6.839940905570984,56.2379584312439,-50.160059094429016,99.00639845940627,44,18,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,99.00639845940627
71781M66L00000,185.0,349.82357926763876,238.02002745424036,164.82357926763876,151.71059480445217,92,162,xgb_d2_long_sqrt_log,XGB depth2 long sqrt-weight log-size,151.71059480445217
7178254P00000,53.0,23.302450490708754,70.01120450063158,-29.697549509291246,104.93996385805663,41,54,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,104.93996385805663
7178277KA05PK,104.0,72.21802954233907,131.15404353957055,-31.78197045766094,120.03439293794506,51,72,xgb_d2_sqrt_tweedie,XGB depth2 sqrt-weight Tweedie-size,120.03439293794506
7179086R10C48,203.0,193.89332538210044,162.49761123508299,-9.106674617899564,98.45292314627562,105,162,xgb_d2_full_log,XGB depth2 full-weight log-size,98.45292314627562
7179154P00000,32.0,22.154214594793746,40.88050801688844,-9.845785405206255,104.45293142355538,28,36,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,104.45293142355538
7181165DD1799,66.0,6.644855013489724,71.1110518977046,-59.355144986510275,100.86500145376675,14,54,xgb_d2_full_log,XGB depth2 full-weight log-size,100.86500145376675
7181172L10799,53.0,31.085064746487923,63.865212264198014,-21.914935253512077,97.8632336489109,48,38,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,97.8632336489109
7181177MJ0799,39.0,44.816686191623155,60.09483227125508,5.816686191623155,121.38682592046368,32,72,xgb_d1_sqrt_log,XGB depth1 sqrt-weight log-size,121.38682592046368
7181180J20799,139.0,202.72705861423768,142.44351837146883,63.727058614237684,132.2003443221713,89,162,xgb_d2_full_log,XGB depth2 full-weight log-size,132.2003443221713
71811M68P20799,9.0,19.598016744765324,28.598016744765324,10.598016744765324,100.0,9,54,xgb_d2_full_log,XGB depth2 full-weight log-size,100.0
71811M68P30799,87.0,27.96471526026726,105.14744818806648,-59.03528473973274,109.30265303098722,50,36,xgb_d2_none_log,XGB depth2 unweighted log-size,109.30265303098722
71811M79G005PK,158.0,357.81331061121523,241.08034418818056,199.81331061121523,190.4116088629907,90,162,xgb_d3_sqrt_log,XGB depth3 sqrt-weight log-size,190.4116088629907
