sku_id,candidate_source,candidate_model,mean_rolling_3m_wmape_percent,fair08_source,fair08_model,fair08_mean_rolling_3m_wmape_percent,delta_09_champion_minus_08
39102M80T00000,08_fair_champion,Aggregate Allocation,100.0,06_intermittent_tournament,Aggregate Allocation,100.0,0.0
3925061J00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,97.22113936896504,06_intermittent_tournament,SBA Croston,108.06887690317448,-10.847737534209443
39321M56R00000,08_fair_champion,SBA Croston,116.81583747001456,06_intermittent_tournament,SBA Croston,116.81583747001456,0.0
39321M67P00000,08_fair_champion,SBA Croston,102.7711016967134,06_intermittent_tournament,SBA Croston,102.7711016967134,0.0
39322M56R00000,08_fair_champion,SBA Croston,133.73509183031575,06_intermittent_tournament,SBA Croston,133.73509183031575,0.0
39322M67P00000,08_fair_champion,SBA Croston,102.0406887063891,06_intermittent_tournament,SBA Croston,102.0406887063891,0.0
39322M67P10000,08_fair_champion,SBA Croston,108.82787682515394,06_intermittent_tournament,SBA Croston,108.82787682515394,0.0
3F11579S10ZWG,08_fair_champion,Hurdle XGBoost threshold 0.30,99.31586188478688,08_tuned_capped_full_coverage,Hurdle XGBoost threshold 0.30,99.31586188478688,0.0
3F11779S00000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
4161552R00000,08_fair_champion,Aggregate Allocation,100.0,06_intermittent_tournament,Aggregate Allocation,100.0,0.0
4171080J00000,09_croston_ml_hybrid,Croston XGBoost depth2 gated probability size,101.13470666917726,06_intermittent_tournament,SBA Croston,117.49938326957928,-16.36467660040202
41710M68K00000,08_fair_champion,SBA Croston,133.17299240481717,06_intermittent_tournament,SBA Croston,133.17299240481717,0.0
41710M76M00000,09_croston_ml_hybrid,Croston XGBoost depth3 gated probability size,116.29884285318268,06_intermittent_tournament,SBA Croston,120.74100354165876,-4.442160688476079
41710M82000000,08_fair_champion,SBA Croston,113.99118472001396,06_intermittent_tournament,SBA Croston,113.99118472001396,0.0
4311052R71000,08_fair_champion,Recent Mean 6m,106.89655172413794,06_intermittent_tournament,Recent Mean 6m,106.89655172413794,0.0
4311078K00000,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
43110M75J80000-OP,09_croston_ml_hybrid,Croston HistGB gated probability size,119.23900485203527,06_intermittent_tournament,SBA Croston,134.39794367386204,-15.15893882182678
432006682227S,08_fair_champion,Hurdle Random Forest threshold 0.35,100.0,08_tuned_capped_full_coverage,Hurdle Random Forest threshold 0.35,100.0,0.0
4321052R5027N,08_fair_champion,SBA Croston,103.88811621429026,06_intermittent_tournament,SBA Croston,103.88811621429026,0.0
